Fecha Corriente(A) Rapidez(M/Min)
2025/1/22 9:58:35 0.01
2025/1/22 9:58:35 0.18
2025/1/22 9:58:35 0.18
2025/1/22 9:58:35 0.02
2025/1/22 9:58:35 0.17
2025/1/22 9:58:35 0.16
2025/1/22 9:58:35 0.16
2025/1/22 9:58:36 0.17
2025/1/22 9:58:36 0.26
2025/1/22 9:58:36 0.28
2025/1/22 9:58:36 0.61
2025/1/22 9:58:36 0.80
2025/1/22 9:58:36 0.21
2025/1/22 9:58:36 0.17
2025/1/22 9:58:36 0.13
2025/1/22 9:58:36 0.14
2025/1/22 9:58:36 0.11
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.11
2025/1/22 9:58:36 0.13
2025/1/22 9:58:36 0.11
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.12
2025/1/22 9:58:37 0.14
2025/1/22 9:58:37 0.12
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.11
2025/1/22 9:58:37 0.13
2025/1/22 9:58:37 0.14
2025/1/22 9:58:37 0.13
2025/1/22 9:58:37 0.14
2025/1/22 9:58:37 0.15
2025/1/22 9:58:37 0.13
2025/1/22 9:58:37 0.12
2025/1/22 9:58:37 0.15
2025/1/22 9:58:38 0.15
2025/1/22 9:58:38 0.14
2025/1/22 9:58:38 0.13
2025/1/22 9:58:38 0.14
2025/1/22 9:58:38 0.15
2025/1/22 9:58:38 0.13
2025/1/22 9:58:38 0.11
2025/1/22 9:58:38 0.12
2025/1/22 9:58:38 0.12
2025/1/22 9:58:38 0.12
2025/1/22 9:58:38 0.11
2025/1/22 9:58:38 0.12
2025/1/22 9:58:38 0.13
2025/1/22 9:58:38 0.11
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.12
2025/1/22 9:58:39 0.13
2025/1/22 9:58:39 0.11
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.11
2025/1/22 9:58:39 0.14
2025/1/22 9:58:39 0.15
2025/1/22 9:58:39 0.13
2025/1/22 9:58:39 0.14
2025/1/22 9:58:39 0.15
2025/1/22 9:58:39 0.15
2025/1/22 9:58:39 0.13
2025/1/22 9:58:40 0.15
2025/1/22 9:58:40 0.13
2025/1/22 9:58:40 0.16
2025/1/22 9:58:40 0.12
2025/1/22 9:58:40 0.12
2025/1/22 9:58:40 0.13
2025/1/22 9:58:40 0.14
2025/1/22 9:58:40 0.14
2025/1/22 9:58:40 0.13
2025/1/22 9:58:40 0.11
2025/1/22 9:58:40 0.12
2025/1/22 9:58:40 0.11
2025/1/22 9:58:40 0.11
2025/1/22 9:58:40 0.12
2025/1/22 9:58:41 0.12
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.12
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.12
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.13
2025/1/22 9:58:41 0.13
2025/1/22 9:58:41 0.14
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.13
2025/1/22 9:58:41 0.15
2025/1/22 9:58:41 0.13
2025/1/22 9:58:42 0.12
2025/1/22 9:58:42 0.13
2025/1/22 9:58:42 0.15
2025/1/22 9:58:42 0.13
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.13
2025/1/22 9:58:42 0.15
2025/1/22 9:58:42 0.12
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.12
2025/1/22 9:58:42 0.12
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.10
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.13
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.12
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.12
2025/1/22 9:58:43 0.14
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.12
2025/1/22 9:58:43 0.14
2025/1/22 9:58:44 0.13
2025/1/22 9:58:44 0.12
2025/1/22 9:58:44 0.12
2025/1/22 9:58:44 0.14
2025/1/22 9:58:44 0.12
2025/1/22 9:58:44 0.12
2025/1/22 9:58:44 0.13
2025/1/22 9:58:44 0.15
2025/1/22 9:58:44 0.12
2025/1/22 9:58:44 0.11
2025/1/22 9:58:44 0.11
2025/1/22 9:58:44 0.13
2025/1/22 9:58:44 0.11
2025/1/22 9:58:45 0.12
2025/1/22 9:58:45 0.11
2025/1/22 9:58:45 0.14
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.11
2025/1/22 9:58:45 0.12
2025/1/22 9:58:45 0.11
2025/1/22 9:58:45 0.09
2025/1/22 9:58:45 0.12
2025/1/22 9:58:45 0.13
2025/1/22 9:58:45 0.13
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.12
2025/1/22 9:58:46 0.14
2025/1/22 9:58:46 0.12
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.12
2025/1/22 9:58:46 0.13
2025/1/22 9:58:46 0.12
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.12
2025/1/22 9:58:46 0.14
2025/1/22 9:58:46 0.11
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.12
2025/1/22 9:58:46 0.12
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.12
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.13
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.12
2025/1/22 9:58:47 0.13
2025/1/22 9:58:48 0.10
2025/1/22 9:58:48 0.12
2025/1/22 9:58:48 0.14
2025/1/22 9:58:48 0.12
2025/1/22 9:58:48 0.11
2025/1/22 9:58:48 0.12
2025/1/22 9:58:48 0.13
2025/1/22 9:58:48 0.12
2025/1/22 9:58:48 0.11
2025/1/22 9:58:48 0.12
2025/1/22 9:58:48 0.14
2025/1/22 9:58:48 0.11
2025/1/22 9:58:48 0.11
2025/1/22 9:58:48 0.12
2025/1/22 9:58:49 0.12
2025/1/22 9:58:49 0.10
2025/1/22 9:58:49 0.10
2025/1/22 9:58:49 0.10
2025/1/22 9:58:49 0.14
2025/1/22 9:58:49 0.11
2025/1/22 9:58:49 0.10
2025/1/22 9:58:49 0.11
2025/1/22 9:58:49 0.12
2025/1/22 9:58:49 0.11
2025/1/22 9:58:49 0.10
2025/1/22 9:58:49 0.13
2025/1/22 9:58:49 0.12
2025/1/22 9:58:50 0.14
2025/1/22 9:58:50 0.11
2025/1/22 9:58:50 0.12
2025/1/22 9:58:50 0.15
2025/1/22 9:58:50 0.11
2025/1/22 9:58:50 0.11
2025/1/22 9:58:50 0.13
2025/1/22 9:58:50 0.14
2025/1/22 9:58:50 0.12
2025/1/22 9:58:50 0.10
2025/1/22 9:58:50 0.11
2025/1/22 9:58:50 0.14
2025/1/22 9:58:50 0.12
2025/1/22 9:58:50 0.11
2025/1/22 9:58:51 0.11
2025/1/22 9:58:51 0.12
2025/1/22 9:58:51 0.11
2025/1/22 9:58:51 0.09
2025/1/22 9:58:51 0.11
2025/1/22 9:58:51 0.12
2025/1/22 9:58:51 0.11
2025/1/22 9:58:51 0.09
2025/1/22 9:58:51 0.10
2025/1/22 9:58:51 0.12
2025/1/22 9:58:51 0.10
2025/1/22 9:58:51 0.10
2025/1/22 9:58:51 0.11
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.13
2025/1/22 9:58:52 0.11
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.14
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.10
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.14
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.11
2025/1/22 9:58:52 0.12
2025/1/22 9:58:52 0.14
2025/1/22 9:58:53 0.12
2025/1/22 9:58:53 0.10
2025/1/22 9:58:53 0.12
2025/1/22 9:58:53 0.12
2025/1/22 9:58:53 0.10
2025/1/22 9:58:53 0.10
2025/1/22 9:58:53 0.11
2025/1/22 9:58:53 0.13
2025/1/22 9:58:53 0.11
2025/1/22 9:58:53 0.10
2025/1/22 9:58:53 0.11
2025/1/22 9:58:53 0.12
2025/1/22 9:58:53 0.10
2025/1/22 9:58:53 0.10
2025/1/22 9:58:54 0.11
2025/1/22 9:58:54 0.12
2025/1/22 9:58:54 0.13
2025/1/22 9:58:54 0.11
2025/1/22 9:58:54 0.12
2025/1/22 9:58:54 0.14
2025/1/22 9:58:54 0.12
2025/1/22 9:58:54 0.10
2025/1/22 9:58:54 0.12
2025/1/22 9:58:54 0.15
2025/1/22 9:58:54 0.12
2025/1/22 9:58:54 0.10
2025/1/22 9:58:54 0.12
2025/1/22 9:58:55 0.14
2025/1/22 9:58:55 0.14
2025/1/22 9:58:55 0.10
2025/1/22 9:58:55 0.12
2025/1/22 9:58:55 0.13
2025/1/22 9:58:55 0.11
2025/1/22 9:58:55 0.10
2025/1/22 9:58:55 0.11
2025/1/22 9:58:55 0.13
2025/1/22 9:58:55 0.10
2025/1/22 9:58:55 0.10
2025/1/22 9:58:55 0.11
2025/1/22 9:58:55 0.12
2025/1/22 9:58:56 0.11
2025/1/22 9:58:56 0.10
2025/1/22 9:58:56 0.11
2025/1/22 9:58:56 0.13
2025/1/22 9:58:56 0.14
2025/1/22 9:58:56 0.11
2025/1/22 9:58:56 0.13
2025/1/22 9:58:56 0.14
2025/1/22 9:58:56 0.12
2025/1/22 9:58:56 0.11
2025/1/22 9:58:56 0.12
2025/1/22 9:58:56 0.14
2025/1/22 9:58:56 0.11
2025/1/22 9:58:56 0.11
2025/1/22 9:58:57 0.11
2025/1/22 9:58:57 0.13
2025/1/22 9:58:57 0.11
2025/1/22 9:58:57 0.11
2025/1/22 9:58:57 0.12
2025/1/22 9:58:57 0.13
2025/1/22 9:58:57 0.11
2025/1/22 9:58:57 0.10
2025/1/22 9:58:57 0.11
2025/1/22 9:58:57 0.12
2025/1/22 9:58:57 0.10
2025/1/22 9:58:57 0.10
2025/1/22 9:58:57 0.11
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.11
2025/1/22 9:58:58 0.10
2025/1/22 9:58:58 0.11
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.09
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.13
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.10
2025/1/22 9:58:58 0.12
2025/1/22 9:58:58 0.13
2025/1/22 9:58:58 0.11
2025/1/22 9:58:59 0.11
2025/1/22 9:58:59 0.11
2025/1/22 9:58:59 0.13
2025/1/22 9:58:59 0.11
2025/1/22 9:58:59 0.11
2025/1/22 9:58:59 0.12
2025/1/22 9:58:59 0.12
2025/1/22 9:58:59 0.11
2025/1/22 9:58:59 0.10
2025/1/22 9:58:59 0.10
2025/1/22 9:58:59 0.10
2025/1/22 9:58:59 0.09
2025/1/22 9:58:59 0.10
2025/1/22 9:59:0 0.09
2025/1/22 9:59:0 0.09
2025/1/22 9:59:0 0.10
2025/1/22 9:59:0 0.12
2025/1/22 9:59:0 0.11
2025/1/22 9:59:0 0.10
2025/1/22 9:59:0 0.14
2025/1/22 9:59:0 0.14
2025/1/22 9:59:0 0.12
2025/1/22 9:59:0 0.10
2025/1/22 9:59:0 0.12
2025/1/22 9:59:0 0.13
2025/1/22 9:59:0 0.11
2025/1/22 9:59:0 0.10
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.12
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.12
2025/1/22 9:59:1 0.13
2025/1/22 9:59:1 0.12
2025/1/22 9:59:1 0.10
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.13
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.11
2025/1/22 9:59:1 0.11
2025/1/22 9:59:2 0.12
2025/1/22 9:59:2 0.11
2025/1/22 9:59:2 0.10
2025/1/22 9:59:2 0.11
2025/1/22 9:59:2 0.12
2025/1/22 9:59:2 0.11
2025/1/22 9:59:2 0.09
2025/1/22 9:59:2 0.13
2025/1/22 9:59:2 0.13
2025/1/22 9:59:2 0.11
2025/1/22 9:59:2 0.11
2025/1/22 9:59:2 0.12
2025/1/22 9:59:2 0.13
2025/1/22 9:59:3 0.11
2025/1/22 9:59:3 0.10
2025/1/22 9:59:3 0.12
2025/1/22 9:59:3 0.13
2025/1/22 9:59:3 0.11
2025/1/22 9:59:3 0.10
2025/1/22 9:59:3 0.11
2025/1/22 9:59:3 0.14
2025/1/22 9:59:3 0.11
2025/1/22 9:59:3 0.10
2025/1/22 9:59:3 0.11
2025/1/22 9:59:3 0.12
2025/1/22 9:59:3 0.12
2025/1/22 9:59:3 2.09
2025/1/22 9:59:4 0.86
2025/1/22 9:59:4 0.24
2025/1/22 9:58:27 6.32
2025/1/22 9:58:27 1.28
2025/1/22 9:58:27 0.14
2025/1/22 9:58:27 0.12
2025/1/22 9:58:27 0.13
2025/1/22 9:58:27 0.12
2025/1/22 9:58:27 0.13
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.11
2025/1/22 9:58:28 0.11
2025/1/22 9:58:28 0.11
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.12
2025/1/22 9:58:28 0.11
2025/1/22 9:58:28 0.13
2025/1/22 9:58:28 0.11
2025/1/22 9:58:27 6.12
2025/1/22 9:58:27 1.22
2025/1/22 9:58:27 0.14
2025/1/22 9:58:27 0.11
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.10
2025/1/22 9:58:27 6.15
2025/1/22 9:58:27 1.22
2025/1/22 9:58:27 0.14
2025/1/22 9:58:27 0.12
2025/1/22 9:58:27 0.10
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.10
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.10
2025/1/22 9:58:27 0.10
2025/1/22 9:58:27 0.09
2025/1/22 9:58:27 0.09
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.11
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.10
2025/1/22 9:58:28 0.09
2025/1/22 9:58:28 0.09
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.10
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.10
2025/1/22 9:58:29 0.10
2025/1/22 9:58:29 0.09
2025/1/22 9:58:29 0.10
2025/1/22 9:58:29 0.10
2025/1/22 9:58:29 0.16
2025/1/22 9:58:29 0.02
2025/1/22 9:58:29 0.15
2025/1/22 9:58:29 0.12
2025/1/22 9:58:29 0.11
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.12
2025/1/22 9:58:30 0.13
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.11
2025/1/22 9:58:30 0.12
2025/1/22 9:58:30 0.12
2025/1/22 9:58:30 0.12
2025/1/22 9:58:30 0.15
2025/1/22 9:58:30 0.14
2025/1/22 9:58:30 0.14
2025/1/22 9:58:30 0.13
2025/1/22 9:58:30 0.11
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.13
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.11
2025/1/22 9:58:31 0.11
2025/1/22 9:58:31 0.11
2025/1/22 9:58:31 0.14
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.12
2025/1/22 9:58:31 0.15
2025/1/22 9:58:31 0.11
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.11
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.10
2025/1/22 9:58:32 0.12
2025/1/22 9:58:32 0.11
2025/1/22 9:58:32 0.13
2025/1/22 9:58:32 0.16
2025/1/22 9:58:32 0.15
2025/1/22 9:58:32 0.15
2025/1/22 9:58:32 0.15
2025/1/22 9:58:32 0.15
2025/1/22 9:58:32 0.13
2025/1/22 9:58:32 0.12
2025/1/22 9:58:33 0.14
2025/1/22 9:58:33 0.13
2025/1/22 9:58:33 0.12
2025/1/22 9:58:33 0.13
2025/1/22 9:58:33 0.11
2025/1/22 9:58:33 0.11
2025/1/22 9:58:33 0.10
2025/1/22 9:58:33 0.10
2025/1/22 9:58:33 0.11
2025/1/22 9:58:33 0.10
2025/1/22 9:58:33 0.10
2025/1/22 9:58:33 0.09
2025/1/22 9:58:33 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.09
2025/1/22 9:58:34 0.09
2025/1/22 9:58:34 0.12
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:34 0.10
2025/1/22 9:58:35 0.12
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.09
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.09
2025/1/22 9:58:35 0.09
2025/1/22 9:58:35 0.09
2025/1/22 9:58:35 0.10
2025/1/22 9:58:35 0.09
2025/1/22 9:58:36 0.09
2025/1/22 9:58:36 0.09
2025/1/22 9:58:36 0.09
2025/1/22 9:58:36 0.09
2025/1/22 9:58:36 0.09
2025/1/22 9:58:36 0.11
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:36 0.10
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.09
2025/1/22 9:58:37 0.11
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.09
2025/1/22 9:58:37 0.09
2025/1/22 9:58:37 0.09
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.10
2025/1/22 9:58:37 0.09
2025/1/22 9:58:37 0.10
2025/1/22 9:58:38 0.09
2025/1/22 9:58:38 0.13
2025/1/22 9:58:38 0.09
2025/1/22 9:58:38 0.09
2025/1/22 9:58:38 0.09
2025/1/22 9:58:38 0.09
2025/1/22 9:58:38 0.11
2025/1/22 9:58:38 0.10
2025/1/22 9:58:38 0.10
2025/1/22 9:58:38 0.10
2025/1/22 9:58:38 0.10
2025/1/22 9:58:38 0.13
2025/1/22 9:58:38 0.10
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.13
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.09
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.10
2025/1/22 9:58:39 0.09
2025/1/22 9:58:39 5.54
2025/1/22 9:58:39 4.37
2025/1/22 9:58:39 0.13
2025/1/22 9:58:39 0.13
2025/1/22 9:58:39 0.10
2025/1/22 9:58:40 0.09
2025/1/22 9:58:40 0.10
2025/1/22 9:58:40 0.09
2025/1/22 9:58:40 0.09
2025/1/22 9:58:40 0.10
2025/1/22 9:58:40 0.09
2025/1/22 9:58:40 0.09
2025/1/22 9:58:40 0.11
2025/1/22 9:58:40 0.12
2025/1/22 9:58:40 0.10
2025/1/22 9:58:40 0.10
2025/1/22 9:58:40 0.10
2025/1/22 9:58:40 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.10
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.11
2025/1/22 9:58:41 0.13
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.12
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.11
2025/1/22 9:58:42 0.10
2025/1/22 9:58:42 0.11
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.15
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.12
2025/1/22 9:58:43 0.12
2025/1/22 9:58:43 0.11
2025/1/22 9:58:43 0.09
2025/1/22 9:58:43 0.10
2025/1/22 9:58:43 0.10
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.09
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.11
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.11
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.09
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.11
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.10
2025/1/22 9:58:44 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.77
2025/1/22 9:58:45 0.11
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.11
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:45 0.10
2025/1/22 9:58:46 0.09
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.09
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.11
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.10
2025/1/22 9:58:46 0.11
2025/1/22 9:58:46 0.11
2025/1/22 9:58:46 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.11
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.10
2025/1/22 9:58:47 0.09
2025/1/22 9:58:48 0.09
2025/1/22 9:58:48 0.10
2025/1/22 9:58:48 0.09
2025/1/22 9:58:48 0.09
